energy,Ac,Ag,Al,Ar,As,At,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Fe,Fr,Ga,Gd,Ge,H,He,Hf,Hg,Ho,I,In,Ir,K,Kr,La,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ne,Ni,O,Os,P,Pa,Pb,Pd,Pm,Po,Pr,Pt,Ra,Rb,Re,Rh,Rn,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Tc,Te,Th,Ti,Tl,Tm,U,V,W,Xe,Y,Yb,Zn,Zr
0.1,1.786,1.47,0.1704,0.2043,0.5971,6.174,5.158,0.1391,2.196,0.1328,5.739,0.6861,0.1514,0.2571,1.524,2.445,0.205,0.3949,0.3166,2.124,0.4584,3.36,3.628,3.04,0.1496,0.3717,1.655,0.5197,3.109,0.555,0.2944,0.1486,4.154,5.279,3.492,1.942,1.609,4.855,0.2345,0.7221,2.315,0.1289,4.033,0.1686,0.3367,1.096,0.1529,0.1585,1.037,2.687,0.16,0.444,0.1551,4.696,0.1865,1.924,5.549,1.377,2.84,5.991,2.588,4.993,1.712,0.7799,4.587,1.314,6.086,1.232,0.202,1.758,0.2577,0.6278,0.1835,2.901,1.676,0.8365,4.302,3.253,1.169,1.801,1.83,0.2721,5.398,3.78,1.954,0.2877,4.438,2.011,0.9047,3.881,0.4973,0.9658
0.101136,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.101137,,,,,,,,,,,,,,,,,,,,,,,,,,,6.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.103921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.103922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.106755,1.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.106756,5.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.10965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.465,,,,,,,,,,,
0.109651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.336,,,,,,,,,,,
0.1126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
